SLURM JOB 4209707
SLURM TASK 1 / 8
Fri Nov 15 13:52:18 CET 2024
RUNNING WITH LB 24, BATCH 1/8
checking depth 0 masks (0 1)
checking depth 0 masks (18 1)
checking depth 0 masks (26 1)
checking depth 0 masks (12 1)
checking depth 0 masks (20 1)
checking depth 0 masks (4 1)
checking depth 0 masks (28 1)
checking depth 0 masks (30 1)
checking depth 0 masks (252 1)
checking depth 0 masks (204 1)
checking depth 0 masks (2 1)
checking depth 0 masks (114 1)
checking depth 0 masks (62 1)
checking depth 0 masks (160 1)
checking depth 0 masks (86 1)
checking depth 0 masks (92 1)
checking depth 0 masks (216 1)
checking depth 0 masks (66 1)
checking depth 0 masks (228 1)
checking depth 0 masks (10 1)
checking depth 0 masks (226 1)
checking depth 0 masks (202 1)
checking depth 0 masks (152 1)
checking depth 0 masks (248 1)
checking depth 0 masks (106 1)
checking depth 0 masks (196 1)
checking depth 0 masks (90 1)
checking depth 0 masks (208 1)
checking depth 0 masks (224 1)
checking depth 0 masks (8 1)
checking depth 0 masks (254 1)
checking depth 0 masks (132 1)
checking depth 0 masks (120 1)
checking depth 0 masks (74 1)
checking depth 0 masks (158 1)
checking depth 0 masks (22 1)
checking depth 0 masks (32 1)
checking depth 0 masks (6 1)
checking depth 0 masks (210 1)
checking depth 0 masks (40 1)
checking depth 0 masks (174 1)
checking depth 0 masks (222 1)
checking depth 0 masks (56 1)
checking depth 0 masks (198 1)
checking depth 0 masks (34 1)
checking depth 0 masks (194 1)
checking depth 0 masks (48 1)
checking depth 0 masks (60 1)
checking depth 0 masks (242 1)
checking depth 0 masks (186 1)
checking depth 0 masks (46 1)
checking depth 0 masks (138 1)
checking depth 0 masks (234 1)
checking depth 0 masks (42 1)
checking depth 0 masks (218 1)
checking depth 0 masks (134 1)
checking depth 0 masks (168 1)
checking depth 0 masks (98 1)
checking depth 0 masks (116 1)
checking depth 0 masks (94 1)
checking depth 0 masks (82 1)
checking depth 0 masks (64 1)
checking depth 0 masks (110 1)
checking depth 0 masks (80 1)
checking depth 0 masks (236 1)
checking depth 0 masks (84 1)
checking depth 0 masks (112 1)
checking depth 0 masks (96 1)
checking depth 0 masks (72 1)
checking depth 0 masks (170 1)
checking depth 0 masks (200 1)
checking depth 0 masks (104 1)
checking depth 0 masks (164 1)
checking depth 0 masks (180 1)
checking depth 0 masks (192 1)
checking depth 0 masks (176 1)
checking depth 0 masks (162 1)
checking depth 0 masks (102 1)
checking depth 0 masks (118 1)
checking depth 0 masks (172 1)
checking depth 0 masks (240 1)
checking depth 0 masks (220 1)
