SLURM JOB 4415931
SLURM TASK 1 / 4
Fri Nov 22 13:39:43 CET 2024
S-box is quadratic? 0 0
RUNNING WITH LB 19, BATCH 1/4
checking depth 0 masks (00 01)
checking depth 0 masks (18 01)
checking depth 0 masks (08 01)
checking depth 0 masks (02 01)
checking depth 0 masks (1c 01)
checking depth 0 masks (14 01)
checking depth 0 masks (fe 01)
checking depth 0 masks (de 01)
checking depth 0 masks (10 01)
checking depth 0 masks (12 01)
checking depth 0 masks (0a 01)
checking depth 0 masks (a2 01)
checking depth 0 masks (ea 01)
checking depth 0 masks (34 01)
checking depth 0 masks (c6 01)
checking depth 0 masks (d2 01)
checking depth 0 masks (b6 01)
checking depth 0 masks (dc 01)
checking depth 0 masks (b2 01)
checking depth 0 masks (70 01)
checking depth 0 masks (1a 01)
checking depth 0 masks (92 01)
checking depth 0 masks (c0 01)
checking depth 0 masks (ae 01)
checking depth 0 masks (5c 01)
checking depth 0 masks (a0 01)
checking depth 0 masks (d0 01)
checking depth 0 masks (4e 01)
checking depth 0 masks (44 01)
checking depth 0 masks (2a 01)
checking depth 0 masks (1e 01)
checking depth 0 masks (16 01)
checking depth 0 masks (d8 01)
checking depth 0 masks (8c 01)
checking depth 0 masks (2c 01)
checking depth 0 masks (e6 01)
checking depth 0 masks (a6 01)
checking depth 0 masks (76 01)
checking depth 0 masks (d6 01)
checking depth 0 masks (24 01)
checking depth 0 masks (82 01)
checking depth 0 masks (ca 01)
checking depth 0 masks (fa 01)
checking depth 0 masks (36 01)
checking depth 0 masks (0c 01)
checking depth 0 masks (8e 01)
checking depth 0 masks (30 01)
checking depth 0 masks (3a 01)
checking depth 0 masks (22 01)
checking depth 0 masks (28 01)
checking depth 0 masks (96 01)
checking depth 0 masks (7a 01)
checking depth 0 masks (2e 01)
checking depth 0 masks (f6 01)
checking depth 0 masks (ba 01)
checking depth 0 masks (86 01)
checking depth 0 masks (ee 01)
checking depth 0 masks (32 01)
checking depth 0 masks (7e 01)
checking depth 0 masks (aa 01)
checking depth 0 masks (da 01)
checking depth 0 masks (ce 01)
checking depth 0 masks (26 01)
checking depth 0 masks (9e 01)
checking depth 0 masks (38 01)
checking depth 0 masks (20 01)
checking depth 0 masks (b8 01)
checking depth 0 masks (4c 01)
checking depth 0 masks (ec 01)
checking depth 0 masks (48 01)
checking depth 0 masks (50 01)
checking depth 0 masks (c4 01)
checking depth 0 masks (94 01)
checking depth 0 masks (46 01)
checking depth 0 masks (fc 01)
checking depth 0 masks (88 01)
checking depth 0 masks (4a 01)
checking depth 0 masks (ac 01)
checking depth 0 masks (84 01)
checking depth 0 masks (b0 01)
checking depth 0 masks (6c 01)
checking depth 0 masks (e4 01)
checking depth 0 masks (a8 01)
checking depth 0 masks (6a 01)
checking depth 0 masks (e8 01)
checking depth 0 masks (80 01)
checking depth 0 masks (06 01)
checking depth 0 masks (04 01)
checking depth 0 masks (0e 01)
checking depth 0 masks (a4 01)
checking depth 0 masks (7c 01)
checking depth 0 masks (68 01)
checking depth 0 masks (f4 01)
checking depth 0 masks (bc 01)
checking depth 0 masks (66 01)
checking depth 0 masks (78 01)
checking depth 0 masks (f8 01)
checking depth 0 masks (58 01)
checking depth 0 masks (52 01)
checking depth 0 masks (64 01)
checking depth 0 masks (9c 01)
checking depth 0 masks (72 01)
checking depth 0 masks (c8 01)
checking depth 0 masks (d4 01)
