SLURM JOB 4415425
SLURM TASK 2 / 4
Fri Nov 22 12:46:31 CET 2024
S-box is quadratic? 1 1
Computed 512 derivatives (512 unique)
RUNNING WITH LB 32, BATCH 2/4
checking depth 0 masks (00 02)
checking depth 0 masks (54 02)
checking depth 0 masks (20 02)
checking depth 0 masks (10c 02)
checking depth 0 masks (170 02)
checking depth 0 masks (08 02)
checking depth 0 masks (3c 02)
checking depth 0 masks (154 02)
checking depth 0 masks (16c 02)
checking depth 0 masks (10 02)
checking depth 0 masks (138 02)
checking depth 0 masks (104 02)
checking depth 0 masks (1e8 02)
checking depth 0 masks (8c 02)
checking depth 0 masks (1f4 02)
checking depth 0 masks (11c 02)
checking depth 0 masks (6c 02)
checking depth 0 masks (13c 02)
checking depth 0 masks (1c0 02)
checking depth 0 masks (194 02)
checking depth 0 masks (134 02)
checking depth 0 masks (168 02)
checking depth 0 masks (88 02)
checking depth 0 masks (188 02)
checking depth 0 masks (e4 02)
checking depth 0 masks (f4 02)
checking depth 0 masks (198 02)
checking depth 0 masks (d8 02)
checking depth 0 masks (e8 02)
checking depth 0 masks (1ac 02)
checking depth 0 masks (74 02)
checking depth 0 masks (b4 02)
checking depth 0 masks (d0 02)
checking depth 0 masks (7c 02)
checking depth 0 masks (24 02)
checking depth 0 masks (18 02)
checking depth 0 masks (38 02)
checking depth 0 masks (90 02)
checking depth 0 masks (1b8 02)
checking depth 0 masks (1d8 02)
checking depth 0 masks (1a8 02)
checking depth 0 masks (dc 02)
checking depth 0 masks (100 02)
checking depth 0 masks (ec 02)
checking depth 0 masks (15c 02)
checking depth 0 masks (114 02)
checking depth 0 masks (d4 02)
checking depth 0 masks (bc 02)
checking depth 0 masks (a0 02)
checking depth 0 masks (2c 02)
checking depth 0 masks (50 02)
checking depth 0 masks (a8 02)
checking depth 0 masks (9c 02)
checking depth 0 masks (14c 02)
checking depth 0 masks (5c 02)
checking depth 0 masks (c0 02)
checking depth 0 masks (a4 02)
checking depth 0 masks (120 02)
checking depth 0 masks (30 02)
checking depth 0 masks (44 02)
checking depth 0 masks (160 02)
checking depth 0 masks (148 02)
checking depth 0 masks (1c4 02)
checking depth 0 masks (180 02)
checking depth 0 masks (94 02)
checking depth 0 masks (58 02)
checking depth 0 masks (28 02)
checking depth 0 masks (17c 02)
checking depth 0 masks (b8 02)
checking depth 0 masks (110 02)
checking depth 0 masks (b0 02)
checking depth 0 masks (1d4 02)
checking depth 0 masks (0c 02)
checking depth 0 masks (64 02)
checking depth 0 masks (18c 02)
checking depth 0 masks (fc 02)
checking depth 0 masks (1c 02)
checking depth 0 masks (70 02)
checking depth 0 masks (144 02)
checking depth 0 masks (1a4 02)
checking depth 0 masks (19c 02)
checking depth 0 masks (1e0 02)
checking depth 0 masks (04 02)
checking depth 0 masks (178 02)
checking depth 0 masks (1fc 02)
checking depth 0 masks (4c 02)
checking depth 0 masks (184 02)
checking depth 0 masks (48 02)
checking depth 0 masks (124 02)
checking depth 0 masks (1cc 02)
checking depth 0 masks (14 02)
checking depth 0 masks (1ec 02)
checking depth 0 masks (c8 02)
checking depth 0 masks (174 02)
checking depth 0 masks (40 02)
checking depth 0 masks (12c 02)
checking depth 0 masks (1bc 02)
checking depth 0 masks (68 02)
checking depth 0 masks (1dc 02)
checking depth 0 masks (164 02)
checking depth 0 masks (60 02)
checking depth 0 masks (1e4 02)
checking depth 0 masks (1b4 02)
checking depth 0 masks (78 02)
checking depth 0 masks (84 02)
checking depth 0 masks (1c8 02)
checking depth 0 masks (98 02)
checking depth 0 masks (1f8 02)
checking depth 0 masks (1d0 02)
checking depth 0 masks (1a0 02)
checking depth 0 masks (80 02)
checking depth 0 masks (1b0 02)
checking depth 0 masks (128 02)
checking depth 0 masks (108 02)
checking depth 0 masks (f0 02)
checking depth 0 masks (e0 02)
checking depth 0 masks (140 02)
checking depth 0 masks (158 02)
checking depth 0 masks (130 02)
checking depth 0 masks (150 02)
checking depth 0 masks (190 02)
checking depth 0 masks (c4 02)
checking depth 0 masks (118 02)
checking depth 0 masks (f8 02)
checking depth 0 masks (34 02)
checking depth 0 masks (cc 02)
checking depth 0 masks (1f0 02)
checking depth 0 masks (21 02)
checking depth 0 masks (11 02)
checking depth 0 masks (31 02)
checking depth 0 masks (22 02)
checking depth 0 masks (12 02)
checking depth 0 masks (32 02)
checking depth 0 masks (0d 02)
checking depth 0 masks (1fd 02)
checking depth 0 masks (25 02)
checking depth 0 masks (35 02)
checking depth 0 masks (23 02)
checking depth 0 masks (13 02)
checking depth 0 masks (33 02)
checking depth 0 masks (0e 02)
checking depth 0 masks (26 02)
checking depth 0 masks (1fe 02)
checking depth 0 masks (0f 02)
checking depth 0 masks (36 02)
checking depth 0 masks (27 02)
checking depth 0 masks (1ff 02)
checking depth 0 masks (37 02)
checking depth 0 masks (05 02)
checking depth 0 masks (19 02)
checking depth 0 masks (29 02)
checking depth 0 masks (39 02)
checking depth 0 masks (09 02)
checking depth 0 masks (3d 02)
checking depth 0 masks (2d 02)
checking depth 0 masks (1d 02)
checking depth 0 masks (06 02)
checking depth 0 masks (0a 02)
checking depth 0 masks (1a 02)
checking depth 0 masks (2a 02)
checking depth 0 masks (3a 02)
checking depth 0 masks (3e 02)
checking depth 0 masks (71 02)
checking depth 0 masks (55 02)
checking depth 0 masks (79 02)
checking depth 0 masks (155 02)
checking depth 0 masks (1e 02)
checking depth 0 masks (1b 02)
checking depth 0 masks (07 02)
checking depth 0 masks (2b 02)
checking depth 0 masks (3b 02)
checking depth 0 masks (72 02)
checking depth 0 masks (4d 02)
checking depth 0 masks (145 02)
checking depth 0 masks (5d 02)
checking depth 0 masks (73 02)
checking depth 0 masks (0b 02)
checking depth 0 masks (5e 02)
checking depth 0 masks (3f 02)
checking depth 0 masks (2e 02)
checking depth 0 masks (1f 02)
checking depth 0 masks (c1 02)
checking depth 0 masks (b1 02)
checking depth 0 masks (cd 02)
checking depth 0 masks (2f 02)
checking depth 0 masks (49 02)
checking depth 0 masks (65 02)
checking depth 0 masks (4a 02)
checking depth 0 masks (66 02)
checking depth 0 masks (b5 02)
checking depth 0 masks (bd 02)
checking depth 0 masks (c5 02)
checking depth 0 masks (4b 02)
checking depth 0 masks (67 02)
checking depth 0 masks (1a5 02)
checking depth 0 masks (e1 02)
checking depth 0 masks (f1 02)
checking depth 0 masks (109 02)
checking depth 0 masks (fd 02)
checking depth 0 masks (1ed 02)
checking depth 0 masks (18d 02)
checking depth 0 masks (a1 02)
checking depth 0 masks (fe 02)
checking depth 0 masks (be 02)
checking depth 0 masks (1f1 02)
checking depth 0 masks (bf 02)
checking depth 0 masks (1f2 02)
checking depth 0 masks (9d 02)
checking depth 0 masks (b9 02)
checking depth 0 masks (a9 02)
checking depth 0 masks (c9 02)
checking depth 0 masks (9e 02)
checking depth 0 masks (ba 02)
checking depth 0 masks (aa 02)
checking depth 0 masks (115 02)
checking depth 0 masks (1f3 02)
checking depth 0 masks (15 02)
checking depth 0 masks (116 02)
checking depth 0 masks (16 02)
checking depth 0 masks (15d 02)
checking depth 0 masks (5f 02)
checking depth 0 masks (117 02)
checking depth 0 masks (15e 02)
checking depth 0 masks (17 02)
checking depth 0 masks (59 02)
checking depth 0 masks (1bd 02)
checking depth 0 masks (1ee 02)
checking depth 0 masks (18e 02)
checking depth 0 masks (ff 02)
checking depth 0 masks (4e 02)
checking depth 0 masks (c2 02)
checking depth 0 masks (b2 02)
checking depth 0 masks (ce 02)
checking depth 0 masks (c3 02)
checking depth 0 masks (b3 02)
checking depth 0 masks (cf 02)
checking depth 0 masks (15f 02)
checking depth 0 masks (6d 02)
checking depth 0 masks (19d 02)
checking depth 0 masks (13d 02)
checking depth 0 masks (5a 02)
checking depth 0 masks (1be 02)
checking depth 0 masks (1ad 02)
checking depth 0 masks (1ef 02)
checking depth 0 masks (18f 02)
checking depth 0 masks (a2 02)
checking depth 0 masks (85 02)
checking depth 0 masks (1c9 02)
checking depth 0 masks (1f9 02)
checking depth 0 masks (5b 02)
checking depth 0 masks (146 02)
checking depth 0 masks (1bf 02)
checking depth 0 masks (12d 02)
checking depth 0 masks (1d5 02)
checking depth 0 masks (1a6 02)
checking depth 0 masks (4f 02)
checking depth 0 masks (1ae 02)
checking depth 0 masks (147 02)
checking depth 0 masks (1a7 02)
checking depth 0 masks (1af 02)
checking depth 0 masks (175 02)
checking depth 0 masks (41 02)
checking depth 0 masks (12e 02)
checking depth 0 masks (1d6 02)
checking depth 0 masks (176 02)
checking depth 0 masks (42 02)
checking depth 0 masks (12f 02)
checking depth 0 masks (1d7 02)
checking depth 0 masks (177 02)
checking depth 0 masks (43 02)
checking depth 0 masks (51 02)
checking depth 0 masks (a3 02)
checking depth 0 masks (125 02)
checking depth 0 masks (185 02)
checking depth 0 masks (1cd 02)
checking depth 0 masks (126 02)
checking depth 0 masks (186 02)
checking depth 0 masks (1ce 02)
checking depth 0 masks (52 02)
checking depth 0 masks (1b5 02)
checking depth 0 masks (56 02)
checking depth 0 masks (156 02)
checking depth 0 masks (7a 02)
checking depth 0 masks (57 02)
checking depth 0 masks (1b6 02)
checking depth 0 masks (157 02)
checking depth 0 masks (7b 02)
checking depth 0 masks (1b7 02)
checking depth 0 masks (6e 02)
checking depth 0 masks (19e 02)
checking depth 0 masks (61 02)
checking depth 0 masks (10d 02)
checking depth 0 masks (171 02)
checking depth 0 masks (139 02)
checking depth 0 masks (16d 02)
checking depth 0 masks (151 02)
checking depth 0 masks (191 02)
checking depth 0 masks (13a 02)
checking depth 0 masks (16e 02)
checking depth 0 masks (152 02)
checking depth 0 masks (13b 02)
checking depth 0 masks (192 02)
checking depth 0 masks (16f 02)
checking depth 0 masks (127 02)
checking depth 0 masks (187 02)
checking depth 0 masks (1cf 02)
checking depth 0 masks (13e 02)
checking depth 0 masks (6f 02)
checking depth 0 masks (19f 02)
checking depth 0 masks (13f 02)
checking depth 0 masks (1e5 02)
checking depth 0 masks (62 02)
checking depth 0 masks (172 02)
checking depth 0 masks (10e 02)
checking depth 0 masks (1e6 02)
checking depth 0 masks (63 02)
checking depth 0 masks (173 02)
checking depth 0 masks (10f 02)
checking depth 0 masks (1e7 02)
checking depth 0 masks (53 02)
checking depth 0 masks (135 02)
checking depth 0 masks (195 02)
checking depth 0 masks (1c5 02)
checking depth 0 masks (99 02)
checking depth 0 masks (86 02)
checking depth 0 masks (1ca 02)
checking depth 0 masks (1fa 02)
checking depth 0 masks (87 02)
checking depth 0 masks (9a 02)
checking depth 0 masks (1fb 02)
checking depth 0 masks (1cb 02)
checking depth 0 masks (136 02)
checking depth 0 masks (196 02)
checking depth 0 masks (1c6 02)
checking depth 0 masks (137 02)
checking depth 0 masks (197 02)
checking depth 0 masks (1c7 02)
checking depth 0 masks (11d 02)
checking depth 0 masks (69 02)
checking depth 0 masks (181 02)
checking depth 0 masks (1f5 02)
checking depth 0 masks (1c1 02)
checking depth 0 masks (8d 02)
checking depth 0 masks (1e9 02)
checking depth 0 masks (1c2 02)
checking depth 0 masks (1ea 02)
checking depth 0 masks (8e 02)
checking depth 0 masks (1c3 02)
checking depth 0 masks (1eb 02)
checking depth 0 masks (8f 02)
checking depth 0 masks (75 02)
checking depth 0 masks (1dd 02)
checking depth 0 masks (14d 02)
checking depth 0 masks (76 02)
checking depth 0 masks (1de 02)
checking depth 0 masks (14e 02)
checking depth 0 masks (77 02)
checking depth 0 masks (1df 02)
checking depth 0 masks (14f 02)
checking depth 0 masks (165 02)
checking depth 0 masks (105 02)
checking depth 0 masks (45 02)
checking depth 0 masks (166 02)
checking depth 0 masks (106 02)
checking depth 0 masks (46 02)
checking depth 0 masks (107 02)
checking depth 0 masks (167 02)
checking depth 0 masks (47 02)
checking depth 0 masks (149 02)
checking depth 0 masks (17d 02)
checking depth 0 masks (161 02)
checking depth 0 masks (199 02)
checking depth 0 masks (14a 02)
checking depth 0 masks (17e 02)
checking depth 0 masks (162 02)
checking depth 0 masks (19a 02)
checking depth 0 masks (14b 02)
checking depth 0 masks (11e 02)
checking depth 0 masks (6a 02)
checking depth 0 masks (182 02)
checking depth 0 masks (1f6 02)
checking depth 0 masks (11f 02)
checking depth 0 masks (1a1 02)
checking depth 0 masks (81 02)
checking depth 0 masks (1b1 02)
checking depth 0 masks (1d1 02)
checking depth 0 masks (183 02)
checking depth 0 masks (6b 02)
checking depth 0 masks (1f7 02)
checking depth 0 masks (129 02)
checking depth 0 masks (f2 02)
checking depth 0 masks (e2 02)
checking depth 0 masks (10a 02)
checking depth 0 masks (1a2 02)
checking depth 0 masks (82 02)
checking depth 0 masks (1b2 02)
checking depth 0 masks (1a3 02)
checking depth 0 masks (1d2 02)
checking depth 0 masks (83 02)
checking depth 0 masks (1b3 02)
checking depth 0 masks (1d3 02)
checking depth 0 masks (1a9 02)
checking depth 0 masks (1d9 02)
checking depth 0 masks (1b9 02)
checking depth 0 masks (91 02)
checking depth 0 masks (1aa 02)
checking depth 0 masks (1da 02)
checking depth 0 masks (1ba 02)
checking depth 0 masks (1ab 02)
checking depth 0 masks (92 02)
checking depth 0 masks (1db 02)
checking depth 0 masks (1bb 02)
checking depth 0 masks (93 02)
checking depth 0 masks (9b 02)
checking depth 0 masks (d9 02)
checking depth 0 masks (f9 02)
checking depth 0 masks (e9 02)
checking depth 0 masks (119 02)
checking depth 0 masks (da 02)
checking depth 0 masks (fa 02)
checking depth 0 masks (ea 02)
checking depth 0 masks (11a 02)
checking depth 0 masks (db 02)
checking depth 0 masks (fb 02)
checking depth 0 masks (e3 02)
checking depth 0 masks (12a 02)
checking depth 0 masks (f3 02)
checking depth 0 masks (eb 02)
checking depth 0 masks (11b 02)
checking depth 0 masks (10b 02)
checking depth 0 masks (12b 02)
checking depth 0 masks (17f 02)
checking depth 0 masks (163 02)
checking depth 0 masks (19b 02)
checking depth 0 masks (e5 02)
checking depth 0 masks (111 02)
checking depth 0 masks (f5 02)
checking depth 0 masks (121 02)
checking depth 0 masks (e6 02)
checking depth 0 masks (112 02)
checking depth 0 masks (f6 02)
checking depth 0 masks (122 02)
checking depth 0 masks (e7 02)
checking depth 0 masks (113 02)
checking depth 0 masks (f7 02)
checking depth 0 masks (123 02)
checking depth 0 masks (141 02)
checking depth 0 masks (179 02)
checking depth 0 masks (159 02)
checking depth 0 masks (1e1 02)
checking depth 0 masks (142 02)
checking depth 0 masks (153 02)
checking depth 0 masks (193 02)
checking depth 0 masks (15a 02)
checking depth 0 masks (17a 02)
checking depth 0 masks (1e2 02)
checking depth 0 masks (143 02)
checking depth 0 masks (17b 02)
checking depth 0 masks (15b 02)
checking depth 0 masks (1e3 02)
checking depth 0 masks (dd 02)
checking depth 0 masks (101 02)
checking depth 0 masks (ed 02)
checking depth 0 masks (131 02)
checking depth 0 masks (de 02)
checking depth 0 masks (102 02)
checking depth 0 masks (ee 02)
checking depth 0 masks (132 02)
checking depth 0 masks (df 02)
checking depth 0 masks (169 02)
